Result Time,Granularity Period,Object Name,Reliability,Location Update Requests,LUSR,LUSR_denom,LUSR_nom,Number of First Pagings to A Interface,Number of First Paging Responses from A Interface,Number of Repeated Paging Responses from A Interface,Paging_Success_Rates,Paging_Success_Rates_Denom,Paging_Success_Rates_Nom,Successful Location Updates During Roaming,Successful Location Updates in the VLR
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=MKHRNC01_5, SAI=641011266",Reliable,74383,99.368,74383,73913,0,0,0,95.956,15850,15209,1169,72744
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=MKHRNC01_4, SAI=64101125C",Reliable,62788,99.411,62788,62418,0,0,0,94.616,7689,7275,1090,61328
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=JNHRNC6_LAI3, SAI=641011216",Reliable,47160,98.838,47160,46612,1,0,1,98.243,16105,15822,456,46156
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=JNHRNC6_LAI2, SAI=64101120C",Reliable,91500,99.67299999999999,91500,91201,2,0,2,96.93799999999999,15707,15226,685,90516
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHRNC12_LAI3, SAI=641010FB6",Reliable,18319,96.954,18319,17761,1,0,1,98.322,15140,14886,374,17387
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHRNC12_LAI2, SAI=641010FB4",Reliable,30779,99.025,30779,30479,2,0,3,96.325,9279,8938,477,30002
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=RWHRNC5-LAI1, SAI=641010E10",Reliable,72504,99.931,72504,72454,0,0,0,95.72399999999999,5730,5485,967,71487
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=MLHRNC1-LAI1, SAI=641010DAC",Reliable,58279,99.39299999999999,58279,57925,0,0,0,97.666,10970,10714,628,57297
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=LRZRNC_LAI1, SAI=641010ABE",Reliable,67941,99.37299999999999,67941,67515,3,0,3,97.148,16026,15569,1863,65652
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHRNC4-LAI1, SAI=641010A32",Reliable,14507,89.943,14507,13048,0,0,0,98.471,11576,11399,291,12757
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC3-LAI1, SAI=641010A28",Reliable,0,,0,0,0,0,0,,0,0,0,0
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC9-LAI1, SAI=641010960",Reliable,25048,89.09299999999999,25048,22316,1,0,1,98.088,17365,17033,520,21796
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC3_LAI3, SAI=6410107ED",Reliable,27099,91.14399999999999,27099,24699,8,0,9,97.956,16289,15956,593,24106
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=BUHRNC3-LAI2, SAI=6410107E9",Reliable,38793,97.43799999999999,38793,37799,4,0,4,97.969,21019,20592,661,37138
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC04_LAI2, GCI=641011452",Reliable,10457,90.63799999999999,10457,9478,8943,8643,194,97.929,9753,9551,1160,8318
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC04_LAI1, GCI=641011451",Reliable,16260,96.59899999999999,16260,15707,11886,11284,358,96.374,12824,12359,2743,12964
2024-05-25 00:00+03:00,60,"AHMSC3/Site:LABEL=AHHBSC18-LAI9, GCI=641010FB0",Reliable,15578,96.73899999999999,15578,15070,10553,10229,235,98.071,11507,11285,1138,13932
