Index,Start Time,End Time,Query Granularity,NE Location,Attached (VLR),Total VLR (Attached+Detached),In-Roamers (Total) (VLR),Peak_Processor_Load_24hrs,Trunk_Route_Utilization_Rate_(MSC),Trunk_Route_Utilization_Rate_(MSC)_Nom,Trunk_Route_Utilization_Rate_(MSC)_Denom,Trunk_Route_Congestion_Rate_(MSC),Trunk_Route_Congestion_Rate_(MSC)_Nom,Trunk_Route_Congestion_Rate_(MSC)_Denom,ASR_Answer_Seizure_Ratio,ASR_Answer_Seizure_Ratio_Nom,ASR_Answer_Seizure_Ratio_Denom,SCR_Successful_Call_Rate,SCR_Successful_Call_Rate_Nom,SCR_Successful_Call_Rate_Denom,BH Traffic (Erl),No_Of_MO_SMS_Sent_CS_NEW,No_Of_MT_SMS_Delivered_CS_NEW,Overall_SMS_success_rate_New,Overall_SMS_success_rate_New_Num,Overall_SMS_success_rate_New_Denum,LUSR_2G_3G_GSMM,LUSR_2G_3G_GSM_Nomm,LUSR_2G_3G_GSM_Denomm,LUSR_3G_UMTS,LUSR_3G_UMTS_Nom,LUSR_3G_UMTS_Denom,Contractual Paging Success Rate,Contractual Paging Success RateNUM,Contractual Paging Success Rate DENUM,Times of Attempted SMS-MO,Times of Attempted SMS-MT,In-Roamers (Intnl),In-Roamers (National) (VLR),Duration(s) of CPU Keeping in Peak State
1,5/27/2024 0:00,5/27/2024 1:00,1Hour(s),"NTCMSCS01,NTCMSC01",4203651,6448691,78694,21,0.01,23026,230515200,0,0,290,26.7434,254732,952504,99.7579,950198,952504,18855.4572,129701,383071,34,512772,1472594,98.9545,6064811,6128888,97.4019,1782453,1829999,94.7529,492393,519660,696747,775847,78694,0,7
2,5/27/2024 0:00,5/27/2024 1:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.01,23151,230515200,0,0,290,95.6148,1112,1163,99.6561,1159,1163,25.5353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763
3,5/27/2024 1:00,5/27/2024 2:00,1Hour(s),"NTCMSCS01,NTCMSC01",4145111,6447121,79656,21,0.0052,11956,230515200,0,0,168,26.0371,143079,549520,99.6009,547327,549520,8543.9647,62171,204324,25,266495,1044515,99.0517,5821646,5877379,97.6855,1702309,1742642,94.6435,266552,281638,588226,456289,79656,0,19
4,5/27/2024 1:00,5/27/2024 2:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,14,0.0052,12056,230515200,0,0,168,93.6296,632,675,99.4074,671,675,13.2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,768
5,5/27/2024 2:00,5/27/2024 3:00,1Hour(s),"NTCMSCS01,NTCMSC01",4108208,6446018,79880,20,0.0029,6800,230515200,0,0,154,26.1422,105436,403317,99.7444,402286,403317,5000.9789,46710,167638,21,214348,987795,99.0582,5551407,5604190,97.6456,1595487,1633957,94.6312,211918,223941,555318,432477,79880,0,37
6,5/27/2024 2:00,5/27/2024 3:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.003,6861,230515200,0,0,155,96.129,596,620,99.3548,616,620,7.5344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764
7,5/27/2024 3:00,5/27/2024 4:00,1Hour(s),"NTCMSCS01,NTCMSC01",4106327,6444288,79295,21,0.0027,6316,230515200,0,0,134,28.0357,116444,415342,99.791,414474,415342,4449.3367,46369,187753,21,234122,1107399,99.0875,5461787,5512085,97.6847,1567947,1605110,93.801,232892,248283,546790,560609,79295,0,77
8,5/27/2024 3:00,5/27/2024 4:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.0028,6388,230515200,0,0,133,90.9091,500,550,98.5455,542,550,7.0628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716
9,5/27/2024 4:00,5/27/2024 5:00,1Hour(s),"NTCMSCS01,NTCMSC01",4181615,6443645,79070,20,0.0041,9491,230515200,0,0,234,28.7625,236982,823927,99.7476,821847,823927,7571.2083,82356,279622,28,361978,1270292,99.104,5831545,5884270,97.7606,1671382,1709668,94.3393,359160,380711,596967,673325,79070,0,32
10,5/27/2024 4:00,5/27/2024 5:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.0041,9556,230515200,0,0,234,18.1461,832,4585,99.8255,4577,4585,10.4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767
11,5/27/2024 5:00,5/27/2024 6:00,1Hour(s),"NTCMSCS01,NTCMSC01",4395459,6442488,78919,21,0.0131,30243,230515200,0,0,615,28.7808,889204,3089576,99.7326,3081314,3089576,27866.4439,292870,727563,46,1020433,2188234,99.1363,7282082,7345527,98.0577,2106186,2147904,94.8707,1031486,1087255,873948,1314286,78919,0,22
12,5/27/2024 5:00,5/27/2024 6:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.0132,30532,230515200,0,0,615,96.3116,2324,2413,99.8342,2409,2413,33.3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764
13,5/27/2024 6:00,5/27/2024 7:00,1Hour(s),"NTCMSCS01,NTCMSC01",4790444,6442616,79152,31,0.0451,104060,230515200,0,0,1499,30.9926,3902686,12592311,99.7533,12561240,12592311,125005.9833,790638,2111688,58,2902326,4993442,99.218,11114641,11202241,98.4119,3106120,3156243,94.6359,3468603,3665210,1531155,3462287,79152,0,12
14,5/27/2024 6:00,5/27/2024 7:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.0454,104745,230515200,0,0,1500,95.6551,5724,5984,99.8663,5976,5984,115.4911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762
15,5/27/2024 7:00,5/27/2024 8:00,1Hour(s),"NTCMSCS01,NTCMSC01",5019491,6441490,79517,36,0.0874,201524,230515200,0,0,2335,34.0313,6938946,20389875,99.7251,20333823,20389875,236712.5586,1022583,2900663,63,3923246,6200547,99.1056,14468986,14599570,98.3202,4027823,4096640,95.1721,5246100,5512223,1872954,4327593,79517,0,7
16,5/27/2024 7:00,5/27/2024 8:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.0879,202647,230515200,0,0,2335,95.7408,8924,9321,99.8283,9305,9321,223.7936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779
17,5/27/2024 8:00,5/27/2024 9:00,1Hour(s),"NTCMSCS01,NTCMSC01",5037444,6440723,80205,44,0.1303,300432,230515200,0,0,3162,36.0138,8434780,23420943,99.7101,23353056,23420943,283162.0022,1025760,3504170,59,4529930,7626351,98.7035,15576838,15781437,98.0168,4374645,4463157,94.2015,6202071,6583834,1909771,5716580,80205,0,9
18,5/27/2024 8:00,5/27/2024 9:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.131,301916,230515200,0,0,3162,95.7094,12068,12609,99.9048,12597,12609,333.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758
19,5/27/2024 9:00,5/27/2024 10:00,1Hour(s),"NTCMSCS01,NTCMSC01",5033192,6439480,81088,45,0.148,341215,230515200,0,0,3591,36.9085,9149122,24788666,99.6913,24712153,24788666,295012.6194,1028729,3497087,66,4525816,6821301,98.6101,16090416,16317207,97.8994,4494796,4591241,95.5486,6350419,6646272,1917644,4903657,81088,0,16
20,5/27/2024 9:00,5/27/2024 10:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.149,343438,230515200,0,0,3591,57.7838,13652,23626,99.8984,23602,23626,378.2903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752
21,5/27/2024 10:00,5/27/2024 11:00,1Hour(s),"NTCMSCS01,NTCMSC01",5048080,6440206,81778,41,0.1599,368658,230515200,0,0,3975,37.2816,9394122,25197744,99.6914,25119978,25197744,296579.5,1040907,3311708,67,4352615,6469462,98.8199,16298162,16492800,98.0905,4610553,4700305,95.811,6227098,6499353,1938871,4530591,81778,0,13
22,5/27/2024 10:00,5/27/2024 11:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,16,0.1606,370218,230515200,0,0,3975,94.6345,14992,15842,99.9495,15834,15842,407.7072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763
23,5/27/2024 11:00,5/27/2024 12:00,1Hour(s),"NTCMSCS01,NTCMSC01",5059625,6439430,81882,46,0.1668,384561,230515200,0,0,4946,37.3496,9385392,25128468,99.6817,25048478,25128468,287373.7544,1027885,3345452,67,4373337,6501241,98.8814,16226725,16410285,98.136,4599168,4686524,95.5974,6248741,6536519,1926280,4574961,81882,0,11
24,5/27/2024 11:00,5/27/2024 12:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,14,0.1679,387084,230515200,0,0,4946,69.1204,18780,27170,99.9558,27158,27170,425.7258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765
25,5/27/2024 12:00,5/27/2024 13:00,1Hour(s),"NTCMSCS01,NTCMSC01",5079886,6439492,81483,41,0.1672,385344,230515200,0,0,4422,37.0474,9198279,24828391,99.6708,24746657,24828391,287286.6556,1021883,3354526,66,4376409,6545159,98.9046,16146706,16325544,98.1126,4577190,4665243,95.6027,6210710,6496378,1923662,4621497,81483,0,15
26,5/27/2024 12:00,5/27/2024 13:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.1681,387591,230515200,0,0,4424,96.4893,16848,17461,100,17461,17461,425.9861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,766
27,5/27/2024 13:00,5/27/2024 14:00,1Hour(s),"NTCMSCS01,NTCMSC01",5121938,6444087,81515,40,0.1692,390012,230515200,0,0,4385,36.348,9167109,25220422,99.6768,25138916,25220422,289348.8408,1081481,3436052,67,4517533,6736348,98.9823,16180215,16346567,98.1697,4554071,4638976,95.5267,6306322,6601630,2003106,4733242,81515,0,16
28,5/27/2024 13:00,5/27/2024 14:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.17,391977,230515200,0,0,4385,95.2337,16624,17456,99.8854,17436,17456,431.6222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,753
29,5/27/2024 14:00,5/27/2024 15:00,1Hour(s),"NTCMSCS01,NTCMSC01",5162082,6448169,81054,43,0.1677,386646,230515200,0,0,4464,35.8083,9072930,25337475,99.6715,25254234,25337475,287516.1839,1105074,3467926,66,4573000,6830963,98.9867,15793318,15954983,98.2025,4522535,4605315,95.2948,6332284,6644941,2040813,4790150,81054,0,8
30,5/27/2024 14:00,5/27/2024 15:00,1Hour(s),"KTW_MSCS-GSM_LS_17,KTWMSC02",0,0,0,15,0.1688,389218,230515200,0,0,4461,95.2702,16980,17823,99.9102,17807,17823,429.1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,774
31,5/27/2024 15:00,5/27/2024 16:00,1Hour(s),"NTCMSCS01,NTCMSC01",5191888,6452009,80480,42,0.1664,383481,230515200,0,0,4514,35.4086,9149730,25840412,99.6994,25762729,25840412,286911.2778,1079810,3459431,66,4539241,6835583,99.0511,15972225,16125235,98.2993,4536820,4615312,95.23,6394347,6714638,2019387,4816196,80480,0,7
